tweet,sentiment,dialect,sarcasm
  ان الفريق رقم مهم المعادله السياسيه المصريه يمكن اغفالههل ترا ان صحيح؟,NEU,msa,False
 فيدرر اجا والكبار,NEU,msa,False
“ الداعون لمبدا الاختلاط الجنسين كالداعين لالغاء التسعيره يريد تصفيه السوق السوداء بجعلها حره  ”,NEG,msa,True
 مساكين الصبح هوما رايحين راجعين عاا غوغل تعبت بدالهم '',NEG,gulf,True
 قل شرق حلب تقل حلب الشرقيه وقل غرب حلب تقل حلب الغربيه فحلب موحده ويريدونها منقسمه,NEU,msa,False
 طبيب اصابه بسيطه تحتاج للراحه فقط,NEG,msa,False
مرسي  مش هنام اكتر اربع ساعات اليوم  نمت دقيقه كمان زياده هديك علي دماغك,NEG,egypt,True
مشكل,NEG,egypt,True
 هاشتاق العرب  | اهالي يرفعون اسطح منازلهم تحديا لقانون سلطه ,POS,msa,False
محافظ العاصمه تفقد سير العمليه الانتخابيه عدد لجان الاقتراع تفقد محافظ العاصمه الشيخ طلال الخالد الاحمد الصباح عددا مقار اللجان الانتخابيه مناطق المحافظه وذلك لمتابعه سير عمليه الاقتراع ,NEU,msa,False
 الاتجاه  اوباما يصل الا اسراءيل للمشاركه بدفن بيريس  الاتجاه برس / وكالاتوصل الرءيس الامريكي باراك اوباما وز ,NEU,msa,False
 والله عليش مايمدي ايفون حبيبي '',POS,gulf,False
هذ,NEG,levant,False
 مدريد - كلوب اميركا نصف النهاءيالساعه ١/٣٠ الظهر مدريد ولاشيء اخر ,POS,msa,False
 وقت الشده ظنتي الجيش المصري حيوقف السعوديه ماراح يتبعو سيسي غيروا عشان لعاد يوزعو فلوس خلاص كفايه '',NEG,egypt,True
 عمليات الانبار تحرر جزيره بالكامل مجرمي داعش اذاعه  '',NEU,msa,False
 القطريين اختتطفو لانهم الاسره الحاكمه وليس لانهم سنه لغرظ مساومتهم اسراهم سوريا حزب الله والله يفك اسرا…,NEG,msa,False
 انت لسه مبقتش شركاء اوبر ! !  /الفرصه لسه فاديك  خطوات  ) - هتجيب فيش وتشبيه موجه لشركه,NEU,egypt,False
 مفحوص مفعوص المحتله حماه وحلب والساحل النصيري وذهب يشتغل كلب الناتو لجهنم وبءس المصير,NEG,msa,True
   عاصفه ثلجيه تهدد حياه الالاف النازحين السوريين منطقه,NEU,msa,False
 نفسي اطلع لعمل تطوعي لمساعده النازحين السوريين '',POS,levant,False
 انا اشفق علا هيلاري كلنتون فهي مضطره لمناظره  خبل '' نص كلامه مو مفهوم '',NEG,msa,True
 القوات العراقيه تفكك العبوات الناسفه خلفها داعش بجزيره الرمادي  ,NEU,msa,False
برضو,NEG,egypt,False
انتخاب مرسي بالقطع سبه ولدا اصدقاء اشك ثوريتهم انتخبوه لكني ببساطه انتخبه وقاطعت وان الان الرءيس الشرعي,NEU,msa,False
 يزداد الخطر بزياده الغفله واللامبالاه قضايا واخرها صوت ماذنها يقاوم,NEG,msa,False
 العصابه الوهابيه تحارب جبهه النصره وتركت جيوش المجوس تسرح حلب '',NEG,msa,True
 كمان حكاها بشار الاسد صلا العيد بداريا !,NEG,levant,True
 اعرف يوجه الدعوه,NEG,msa,True
 ⁧ ⁧ الملا يتكلم مذكرات هيلارا كلنتون,NEG,msa,False
 كنت اتابع فيدرر كرهت نادال يوم طلع '',NEG,gulf,False
 الكترونيه لمستخدمي,NEU,msa,False
 فلسطين يقتل العرب ويدمر حلب '',NEG,levant,False
اعلامي عكاشه اتغير درجه بقي بيبرر ارتفاع الاسعار علي المواطن محدود الدخل بكل الوساءل وبقي زي القط الاليف مرتبات الاعلاميين بتعمل كده,NEG,msa,True
 جستن بيبر ,NEU,msa,False
 بعيون,NEU,msa,False
 حواري النجمه الذهبيه علا صفحات جريده الوطن وتصرح  الان اصبحت ناضجه !,POS,msa,False
 الانفاق قاتله الجنود والمدرعات اشترت اسلحه -,NEG,msa,False
 انا انصحك تعدل لغتك العربيه بعدها تدخل الجامعه  '',NEG,egypt,False
طول انا بتخانق وبعاتبك يبقا لسه باقيه وبحبك المصيبه بقا بطلت اعمل كدا اعرف انك مبقتش تهمني تفرق معايا ,NEG,msa,False
 نادين نسيب نجيم '',NEU,msa,False
 اليوم يمكن اجاني نوتفكيشن حسيت حالي بحساب جستن بيبر يعمي '',NEU,levant,False
 اللهم نصرت عبدك موسا اليوم فانصر عبادك نصرا عاجلا نسالك ان تحمي وطننا وجنودن… '',POS,msa,False
محد صاح,NEU,msa,False
 يعني علا اساس حلف الناتو والسعوديه وتركيا وقطر كنتوا اساسن حسنتوا تسيطروا علا مخفر '',NEG,gulf,False
اراد احدكم الكلام فعليه ان يفكر كلامه فان ظهرت المصلحه تكلم وان شك يتكلم حتا تظهر ,NEU,levant,False
 كارثه يرتكبها يقول ان بدعه,NEG,msa,False
 الله يرحمه ويعفو عنهكان حزب الخونهاللهم تجاوز عنه واغفر وامسح ذنوبه يارب '',NEG,msa,False
 اللهم انصر اخواننا حلب وارحم المستضعفين منهم واجعل تدبير اعداءهم تدميرهم وعجل بنصرهم يارحيم…,POS,msa,False
قلبي رجل يلغي رجال,POS,msa,False
,NEU,msa,False
 اتفاق بملياري لتبادل العملات | с помощью,NEU,msa,False
 اثر هجومهما  الهمجي '' علا البيت الابيض يحذر الاسد,NEG,levant,False
 اقلها اليمن مستقره نوعا اما حلب فكم دوله تحارب سوريا زال السوريين يدافعون بلادهم اللتي تدمرت بسبب روسيا '',NEG,msa,False
ياخذ جاك علا هالجوده,NEG,msa,False
 نتحمل مسءوليه الحفاظ علا الرساءل تنسيقها بحيث يمكن الوصول اليها الا صاحب الرساله…,NEU,msa,False
ممثل الجمهوريه العربيه السوريه يسترجع نزار قباني وذكرياته المدرسه,POS,msa,False
 بنعتذر لحضرتك فندم علي التاخير  سيتم اقلاع الرحله تمام الساعه  رقم بدلا بنتمنالك رحله سعيده  '',POS,egypt,False
صرت موا,POS,msa,False
بقت مكتوبه شوارع,NEG,egypt,True
 هاري بوتر يعود جديد,NEU,egypt,False
 جبير ايه ؟ ! دا وزير الشءون الخارجيه القطري نفسه عندنا عشان اجتماع الجامعه العربيه ,NEU,msa,False
 يوسف الحسينا يسب السعوديه لقطعها المساعدات سيسا  شحاتين ياارهابيين احنا اديناكم رز ومحدش حماكم,NEG,gulf,True
 شاهد  كشفت روسيا اطلاق صواريخ باليستيه اسراءيليه وامريكيه سوريا,NEU,msa,False
 عبدوا كاسترو العرب يعبدون الولي السفيه بوتن اليوم  '',NEG,msa,True
نشطتها مال هاري بوتر احس,NEU,gulf,False
,POS,msa,False
بدات افقد القدره علا انشاء صداقات وفتح حوارات طويله  او اي شيء يحتاج بدايه ,POS,msa,False
العيناويه مابيسكتون تري الوحده ناقص لاعبين واجانب محد ويلعبون بالصغار !   واضح,NEG,msa,False
شخص برمضان اذكر كتبت نصيحه وسوا ريتويت لكلامي وخله اللي عنده يهاجموني واتفاجء بوجوده معاي بمااده القدر,NEG,msa,True
يارب يعد للقلب متسع لمزيد الحزن ,NEG,msa,False
 امين عام الجامعه العربيه يبحث مبعوث اممي تطورات الاوضاع بالاراضي الفلسطينيه المحتله,NEU,msa,False
حقيقه اللي مش عايزين يفهموها ان النقد مكنش بالطريقه النضيفه دي هيبقا شتايم وقله ادب وهيزعلوا بجد,NEG,msa,True
 حاليا نوفاك قبله نادال قبلهم فيدرر الافضل علا الاطلاق '',POS,msa,False
يفترض يوم وكل ساعه؟ لغه القران نتلوه يوميا لغه التعليم المدرسي لغه العبادات لغه امه الخير,POS,msa,False
رب,POS,msa,False
 | اشتباكات مسلحه بالقرب فندق بالعاصمه,NEU,msa,False
منع حازم عبد العظيم والسيد البدوا اكبر انصار الانقلاب العسكرا السفر يمثل تطبيقا لمبدا صاحب الحمير اضرب المربوط يخاف الساءر,NEG,msa,True
زمان كنت اغرد السياسه وقالوا قديما السياسه نجاسه الحمد لله اني تطهرت النجاسه #,NEG,egypt,False
 اللهم انتقم منالذين طغوا البلادوارحمالذين اخرجوا ديارهم بغير حق,NEG,msa,False
 المعلم لاتتهاون برصد ومحاسبه الطالب علا اي شي مخالف للواءح السلوك والمواظبه  تطبيقها يجعل البيءه المدرسه '',POS,egypt,False
 شاهدت طاوله الشطرنج الجميله تزين غرفه اجتماعاتك بيت الوسط  اتحمس ان اشاطرك المباراه الوديه شيخ  انا مبتدءه فقط '',POS,msa,False
 خطاب بوب ديلان حفل نوبل لماح جدا خاصه علاقه شكسبير بالادب واللي خلاني افتكر كلام تولستوي السينما ,NEU,egypt,False
 الجزيرهنت  تصدح بالاذان ,NEU,msa,False
حدثت عهد ابن همام عام ٢٠١١وبحث بسيط عبر غوغل ستجد الكثير والكثير !,NEU,msa,False
 اصير وزيره الصحه الا اشنق عديله بباب المعظم يم البوكي ستوب حتا الي يدور علا بوكيمون يشوف عديله ويجوز اللعبه '',NEU,egypt,True
 قال رسول الله رياض الصالحين,NEU,msa,False
,NEG,egypt,False
 احصل الان علا دوره تدريبيه مجانيه مجال الصحافه فيسبوك ظل مساعي شركه فيسبوك المستخدمين ,NEU,egypt,False
 الان بالقصيم,NEU,msa,False
 الخارجيه الامريكيه  اطالب الاطراف بالالتزام بوقف الاعمال العداءيه سيسمح ,NEU,msa,False
رحم الوايت بيرد,NEU,msa,False
انسان ايا انسان اجهلك اتفهك الكون اضالك شمس وقمر وسدوم وملايين نجوم وفاكرها موهوم مخلوقه عجبي !,NEG,egypt,True
 تلعب اول لعبه ماريو مخصصه لاجهزه ايفون؟ عبر,NEU,msa,False
ازاله العقارات المخالفه بالقرب  لحمايه المواطن,POS,msa,False
 راما عياش عملا لايك علا اغنيته,POS,egypt,False
 الرياض حي الواحهتقاطع شارع رفحاء طريق ابوبكر الصديقموقعنا عبر خراءط جوجل ,NEU,egypt,False
انت الناس اللي تءيد او تسكت ظلم او فشل سواء فترات او قول,NEU,msa,False
هجوم المتوقع علا كرداسه متا يتوقفون قتل الاحرار؟ الانقلاب يمارس ويزرع الارهاب,NEG,msa,False
 جمال الليل نظره عيونك  ونور البدر مرسوم بجفونكوكل الكون يسوي نادين بدونكالله يحميكي ندون…,POS,msa,False
عندي ثقه فيك ,POS,msa,False
 وزير الخارجيه المصري يصل مقر الجامعه العربيه ويليه وزير الخارجيه الفلسطيني ليبدا اجتماع اللجنه العربيه المعنيه بانهاء الاحتلال الاسراءيلي '',NEU,msa,False
 اشرايج ج-ز؟؟ انييبه عشان يغني ٩٩ مشكله يغني بيونسيه !,NEG,gulf,True
 “ ديلا ميل ”  ترامب سينقل السفاره الامريكيه “ تل ابيب ” الا,NEU,msa,False
