tweet,sentiment,dialect,sarcasm
#كابوريا #اللبان #يوسف رجالة بمعني الكلمة بجد شباب جدعة جداا درونا #نكمل #لن_تركع_امه_قائدها_محمد,POS,egypt,False
"#السيسي يلوم ""الخطاب الديني غير المرتبط بالعصر"" على ما لحق من ضرر بقطاع السياحة في #مصر #مرسي #الاخوان #السعودية #الامارا…",NEU,msa,False
"""تركيا في سورية بعد درع الفرات https://t.co/zqA2zAQgs1 https://t.co/MTELrwGYFU""",NEU,msa,False
"بعض خريجي #الأزهر ""يخرفون"" في خطبة الجمعة #أخبار #مصر",NEG,msa,True
"""RT @MuniraFaisal: #مصر وشعبها يسكنون في قلوبنا❤️ لكن المدعو ""سيسي"" كان يحتاج لدرس عربي لمعاني الوفاء وحفظ المعروف وهو الدرس الاول له!#إيقا…""",NEG,msa,True
"""@HaSanMohAbboud  ماذا فعل من ينبح من أجل #فلسطين؟ اه صحيح راح يذبح أطفال #سوريا كرمال فلسطين!""",NEG,msa,True
"""RT @AAN_KSA1: ⁧#الارهاب_صناعه_امريكيه_لاسعوديه⁩ ⁧#قانون_جاستا⁩محمد الملا يتكلم عن مذكرات هيلارى كلنتون https://t.co/KMf4l24SOw""",NEG,msa,False
"""#الشرقية #السعودية #saudi #ksa  46 حافلة تصل من حلب المحاصرة لريفها الغربي اليوم.""",NEU,msa,False
ليش قطار المدينة الترفيهية اسمه قطار الموت وأمك عادي تقولك اركب؟ via #JustWondering  ,NEG,msa,True
"""أوباما: الحل الوحيد للأزمة السورية سياسي  https://t.co/4sLAcZIfMT عبر @MC_Doualiya""",NEU,msa,False
"""RT @9min1: بوكيمون ايه يا جدعان الى هاقوم ادور عليه. خخخ دنا مكسل أقوم اشرب بقالى ساعه وعمال ابلع ف ريقى واقنع نفسي انى شربت ... 😃😂""",NEG,egypt,True
"""اكثر صورة ضحكتني اليووم #ترامب #السعودية #Trump #Santa #Christmas  #WhiteChristmas https://t.co/u31F4XTUjz""",NEU,egypt,True
"""https://t.co/C6ClP8eGPb #القدس  افتتاح مشروع اعادة تأهيل شبكة المياه في #العيزرية https://t.co/nxEOLxzYQ4""",NEU,msa,False
"""RT @GantElfrdwos: مش هنرسم خريطة جديدة لمصر يا سيسيايهلسه هتبيع حاجات تانيطيب نرسمها لما الاكازيون يخلص""",NEG,egypt,True
"""RT @AhmedWagih: قالك ""السيسي هيغرقنا""!!! صح، والسيسي برضه ورا الأزمات الإقتصادية الطاحنة في تونس، الخليج، العراق، اليونان، روسيا، تركيا، ال…""",NEG,egypt,True
"""حركة الاستقلال في كليفورنيا تعلن استقلالها عّن الولايات المتحدة الامريكية وتفتح سفارة في موسكو؟! https://t.co/OZCy5GhETr""",NEU,msa,False
"""انا بتفح فيسبوك كل شهر مثلا عشان اتفاجئ بال ريكويست مسج و المحن""",NEG,egypt,True
"""كيف تفكّر روسيا سياسياً وعسكرياً في سوريا؟https://t.co/OLJv5xQhLd#سوريا #روسيا_واميركا""",NEU,msa,False
هدول هما الإرهابيين الحقيقيين و العساكر اليهود مساكين عم يدافعوا عن بلدهم !! شو الغلط بالموضوع؟  ,NEG,msa,True
الى مينا وجورج وانطون غيروا اسماءكم على بروفيلكم قبل ما تشتمونى عشان المسألة متبقاش دين وعنصرية وفتنة قلة ادب وغباء كمان,NEG,egypt,True
"""شاهد بالفيديو أوباما يمضغ العلكة ويسحبها من فمه في حضور رئيس وزراء الهند!https://t.co/9gBe5NEyAF""",NEG,msa,True
يعني لما أقول إن مبارك المخلوع سحب سفيرنا من إسرائيل مرتين قبل كده يوصل اللغط أن النعاج والخرفان يقولوا أني بشكر فيه؟ فعلاً بكل طلاقة #ماء,NEG,egypt,True
"""@munee82_ بيونسيه 💘""",POS,msa,False
ويندوز 10 بيعمل تقريبا كل حاجه بمزاجه والموضوع مخيف,NEG,egypt,True
#بكرا_زي_هالوقت ياكثر اللي تبي تشوفه بسروال وفنيله متكي عند الباب بكاس شاهي ويطقطق على مبزرة الحارة اللي رايحين للمدرسه #سحقاً   ツ,NEG,msa,True
"""14. ايش بتقول #نوال_الزغبي ؟""",NEU,gulf,False
"""⭐️ #الجــزائر • ""زوايا الأحداث"" تبحث المعلن والخفي في صعود اليمين المتطرف في أوربا:  حاولت حصة ""زوايا الأحداث""…… https://t.co/Ml89H0WAs9""",NEU,msa,False
"""#عدو_مصر_الاول_هو من لم يدعوا على بشار و بلحة وكل مؤيديهم اللهم صب عليهم العذاب صبا #ستبقي_حلب""",NEG,egypt,True
الدماء التى أريقت في مجزرة ارتكبتها الدولة بماسبيرو لايمكن ان تضيع دون حساب واجب الرئيس أن ينفذ وعده بمحاكمة كل من تورط في قتل ابنائنا,NEU,msa,False
"""#اليمنية| محافظ #شبوة يدشن الخطة الأمنية الخاصة بتأمين خط العبر ـ #شبوة_الدوليhttps://t.co/KtRRPotwSN#التحالف_العربي_سند_اليمن""",NEU,msa,False
لابد من حملة إنتخابية على الارض تتواصل مع الناخبين والناخبات ولا تعتمد فقط على الصحافة والتليفزيون,NEU,egypt,False
"""RT @Mnds_Sy: سلاح جديد من اختراع ثوار سوريا . وطز بكل الداعمين للثورة السورية .شام 3 فخر الصناعة السورية 😊 https://t.co/J5HlqNgArg""",NEG,egypt,True
"""لاحظوا حماقة الصحفي:*على الطريقة الجزائرية .. أنور عشقي: القوات السعودية أنقذت سوريا من الصهاينة* https://t.co/twknGr0gdO  via @""",NEU,egypt,False
"""RT @rabaaaa18: خليفتنا #أردوغان رضى الله عنه ينام على الهواء خلال كلمة بوتين فى مؤتمر مشترك بإسطنبول وخبيريؤكد ان فخامته مرهق من شدة العمل…""",NEG,msa,False
"""RT @Msw_13: توصيات أسهم #كلنا_حسين_عبدالغني #اذكر_اسم_معلم_له_فضل_عليك #مبروك_فك_حصار_حلب #بلقيس_تستخف_بالشعب_السعودي  #حاليا_اهتمامي#قر…""",NEU,egypt,False
عسى قربك يدوم لآخر سنيني ❤️ .,POS,msa,False
"""يسألنيوش رايك كيري جاء للسعودية مُهرولا؟أجبتهما فعلته دول مجلس التعاون في قمة البحرينكان ضربة معلمإعلان التحالف مع بريطانيا أيقظ أمريكا""",POS,gulf,False
"""RT @serag7777: @MansoOfficial @s_h_a_h_d   وصلنا لاقتصاد اسوء من سوريا والعراق ومن غير حربانجاز ده ولا مش انجاز يا متعلمين يا بتوع المدا…""",NEG,egypt,True
"""هيلاري كلنتون لم ولن تنسى خيانة زوجها لها وسر تمسكها به لأنهم من جيل لا يعرف الطلاق.""",NEG,msa,False
"""بريطانيا تطلب السعودية بعدم استخدام القنابل العنقودية البريطانيا في #اليمنوعتبرتها تنتهك حقوق الإنسان#أطفال_اليمن""",NEU,msa,False
"""رئيس #النمسا في أول تصريح له بعد انتصاره على اليمين المتطرف : فوزي مؤشر إيجابي لـ #أوروبا https://t.co/aPJoizPXEb""",NEU,msa,False
"""@MaherMosly يا أخ ماهر أنا أحب فيروز و لكن لم أفكر يوما بعمل سيرش بإسمها،لقد تعديت مرحلة ""جمهور""لمرحلة فانز جستن بيبر،و هي لعمرك مرحلة👎🏼""",NEU,egypt,False
#عبد_الرحيم_علي: اسألوا #البرادعي عما فعله في #العراق #البرادعى_طلع_جاسوس #باسم_طلع_حرامي #تخابر #خونة,NEG,msa,False
"""RT @hadeelOueiss: ""اذا فزت فسأرمي بمنافستي في السجن "" ليس السيسي او بشار الأسد بل المرشح لرئاسة الولايات المتحدة الأميركية دونالد ترامب.""",NEG,msa,True
نحيي شباب حزب الوسط على مجهودهم الرائع فى الانتخابات والذى كان سببا فى حصول الحزب على ما يقرب من مليون صوت ممن صوتوا لنا عن اقتناع,POS,msa,False
"""@amrmsalama @EGYPTAIRحد يرد عليه لانه مصدعنه من امبارح وياريت تريحونا منه وترجعوا له التذكره وميسافرش تاني عندكم لانه بجد مقرف ومحدث""",NEG,egypt,False
"""تتابعون الفيلم الأجنبي The Three Gifts الآن على شاشة #LDC#Christmas #ChristmasOnLDC #Christmas2016 https://t.co/HjbJeJnhWb""",NEU,msa,False
"""الله معك ياهوانا يامفارقنا حكم الهوا يا هوانا واتفارقنا ❤❤💞🎶#فيروز@Fairouziat""",POS,msa,False
"""بعد اقل من 24 ساعة من دعوة #ترامب للعبادي زيارة #واشنطن .. #ايران تدعو #العبادي لزيارة #طهران !#سلمني_نظيف_أسلمك_نظيف !""",NEG,msa,True
جرا ايه هو في ايه الدنيا جرا فيها ايه حتى شفيق باع نفسه للاخوان   تجاوزت #حدود#اليافوخ,NEG,egypt,True
"""@alalam_news بريطانيا هي منبع الإرهاب ومؤسسة الفتن والتفرقة بين الدول والأحزاب وليس لديها أي إنجاز مشرف في السلام.  #داعش #بريطانيا #إرهاب""",NEG,msa,True
أرفض تكليف أي مسئول من الفترة الإنتقامية السابقة,NEG,msa,False
"""Retweeted سامي البشير المرشد (@sbm1956):نتمنى على وزير #اوباما #كيري ان يبتعد عن الملف اليمني فقد كفانا شرا في... https://t.co/cgGKnvmm15""",NEU,msa,False
"""RT @safa_tv: سفير #العراق في #إيران راجح الموسوي :لولا #الحشد_الشعبي لسبى #داعشنساء #الخليج‼️تخيلوا أن شذاذ الأفاق من #الحشد_الشيعييداف…""",NEU,msa,False
"""السعودية تبدأ الثلاثاء مباحثات بشأن اول عملية اقتراضhttps://t.co/Z2cL8TPfODاعلنت السعودية انها ستبدأ الثلاثاء مباحثات مع مستثمرين محتم…""",NEU,msa,False
"""هام || #روسياوزير الخارجية الروسي سيرغي #لافروف يؤكد بأن مقتل وجرح أطباء روس في #حلب أمس عملية مخطط لها سابقاً... https://t.co/u1v0SmWg36""",NEU,msa,False
"""#تنويه_هام#رصد_طامحعصابات أمن #حماس المرتدة تنصب كمين بالقرب من محطة البنزين منطقة ظهرة النويري شارع البحر مخيم النصيرات اﻵن#خذوا_حذركم""",NEU,msa,False
"""@Kenza_Morsli اريد اخبار الفنانة نوال الزغبي""",NEU,msa,False
فى نفس تلك اللحظة إللى قاعدين بنهرى نفسنا فيها على #تويتر، هناك آخرون يتفننون فى تصميم شكل جديد أو إختراع شيئ جديد للدنيا   #تأمل,NEG,egypt,True
كان نفسي اتولد في حقبه زمنيه مفهاش مرض البرد ، بدل منا قاعد عامل زي الفرخه الدايخه كدا,NEG,egypt,True
"""RT @Mansur94185856: @RebelleAhlem @salihbnzeid @dasbb1988 ال سعود من يملك معظم القنوات العربيه الماجنة ويدعون انهم يحافظوا على الاسلام وهم…""",NEG,msa,True
إهتمامك بمن لا يهتم بك ذنب ترتكبه بحق نفسك وغباء ستندم عليه يوما ما . .,NEG,msa,True
"""موقع مدينة القدس - Al-Quds City - نيابة #الاحتلال تطلب السجن لفتى #مقدسي 18 عاماً https://t.co/VXVUXTqBBS""",NEG,levant,False
7_ أكبر معوقة وخازوق أخذناه كان من الإخوان أنا شايف كده واليوم يجب أن نكمل المشوار دونهم,NEG,egypt,True
مصر تعيش وضع مأساوي أوصال الدولة تتفكك والعنف في إزدياد النظام بشكله الحالي عاجز عن إدارة البلاد لابد من المراجعة الجذرية قبل فوات الأوان,NEG,msa,False
"""@ALSARIM111 @zomali700 @LeinaAlhazmy @al_watanQatar الا يابن الشرموطه موزه بتتناك من مين دلوقتي والخول في فرنسا اه صحيح هو من امته كان راجل""",NEG,egypt,True
"""ديميكليس هذا مفترض لا يلعب ، صديق ميسي .موساتشيو ليس مدافع يسار ومايدانا وغاراي افضل،لا اعرف لماذا ميسي مستبعد غاراي.""",NEU,msa,False
"""و قفلت فيسبوك فترة كبيرة ساعتها، فالحمدلله يعني بجد منظري كان ابن وسخه وما زال بردو""",NEG,egypt,True
"#ليه بنخاف من الموت و هو الحاجه الحقيقيه في الدنيا !""",NEU,msa,False
الانقلاب يقترض 62 مليار اخرى من البنوك فى سبتمبر اموال المصريين تتبخر بكره تشوفو مصر,NEG,egypt,True
اليوم السابع | نائب رئيس #جامعة_المنصورة: الدواعى الأمنية سبب تقديم موعد #الامتحانات,NEU,msa,False
"""القنوات السورية تبث مباشرة وعلي الهواء صور الاف النازحين السوريين وعيالهم لانري اعدامات ولا جثث ولا قتل كما تروج #الجزيرة واخواتها ..جربوا""",NEU,msa,False
تقارير صادرة من عفرين تقول بأن جيش #تركيا_بنت_الوسخة يستعمل غازات سامة. حيث أصاب الكثير بـ حكة في الجلد والإحمرار و ضيق في التنفس. فين المنظمة الوسخة بتاعة حقوق الإنسان؟ فين المرتزقة النشطاء ؟ فين الأمم المنفصلة؟ والا إنتوا مش شايفين غير مصر ياولاد الوسخة؟  ,NEG,msa,True
بيقولوا ان في فرقة خسرت قبل كدة من بني عبيد فرحانة في الاهلي عشان خسر من المصري هههههههههههه 󾌴󾌴󾌴󾌴󾌴󾌴  ,NEG,msa,True
#شوقي : ولد الهدى فالكائنات ضياء وفم الزمان تبسم وثناء/ اللهم صلي وسلم على سيدنا محمد وعلى اله وصحبه وسلم #بكفي_حصار #اضبطوا_شركاء_المخلوع,POS,egypt,False
غوغل واي-فاي وكروم كاست ألترا https://t.co/jsyBV90Hr9,NEU,msa,False
"""بنصور فيديو #MannequinChallenge احناا فاجرين عليا الطلاق😂""",POS,egypt,False
"#خالد_علي: نرحب بـ #الاخوان المشاركين في ""إسقاط #قانون_التظاهر""! شفتوا الخول ده بيقول ايه؟ عايز يحط ايده في ايد بلطجية #رابعة!",NEG,egypt,True
"""RT @EHSANFAKEEH: إيران تلغي الحج من أركان الاسلام لوجوده في #السعوديةوهي في صدد بناء كعبة بديلة أو نقل الكعبة من مكة للنجف الأشرف👇🏻😂https…""",NEG,msa,True
"""وقالو سعيدة في حياتها 😣 #إليسا""",NEG,egypt,False
"""#بلدياجتماع #تركي #إيراني #روسي في #موسكو من أجل #سورياhttps://t.co/FgPRWtMU43https://t.co/dE9lmVObJx""",NEU,msa,False
الكوت تويت من غير فولو يُعتبر هتك عرض الكتروني وشكرا #دستور_تويتر,NEU,msa,True
_ #عايش معاك ايام مفيش فى جمالها زى #الملاك دى اقل كلمه بقولها #بحبك #عمرو #دياب —,POS,egypt,False
شباب الحملة ناشط في كل محافظة من أجل مصر المستقبل بارك الله فيكم معاً سنغير,POS,msa,False
ياريت بس الإخوان يوحدوا الكذبة هوه مرسي جامد قوي وبيحبط مؤامرات شرسة؟ ولا مغلوب على أمره والدولة كلها ضدهكدب مساوي ولا صدق مجعرف يا إخوة,NEG,egypt,True
ويعطينا الله ما نُحب ولو بعد حين ...,POS,msa,False
تنمية محور قناة السويس يعد مشروعا قوميا #السادة_المحترمون,NEU,msa,False
"""@riyadhalasaad عندما نشاهد مايجري في سوريا من قتل للإطفال والنساء من قوات الأسد وطيران المجرم بوتن تقطر قلوبنا دمانحن نشارككم الألم والعذاب""",NEG,msa,False
"""اللواء #كامل_الوزير في مداخلة مع #عمرو_أديب بتكليف من الرئيس #السيسي بعد نشر صور لمحطة قطار أسوانستتولى القوات الم… https://t.co/NWIpZpTBxk""",NEU,egypt,False
#رحلة يوم #عائلية إلى #استديوهات #هاري #بوتر حيث تم #تصوير #أفلامه. #لعشاق #الأساطير انها #الرحلة #الأمثل https://t.co/SAjYuV3kbn,POS,msa,False
بعد سقوط كل هؤلاء الشهداء ومشهد الرجل المسحول الازال مرسي محتفظا بوضوئه هل تصح صلاته وهل يتقبلها الله وهي مغموسة بالدم سؤال للفقهاء,NEG,msa,False
"""#حجمك ايفون https://t.co/GdT6bCX2iL""",NEU,msa,False
"جـربــوا كـــده ,, تغيروا كل القضاة و المحاميين الذين يتولون قضايا الخرفان ,, عليا النعمة , هاتشوفوا العجب .. #رأي_شخصي >> 99% من وزارة العدل خــرفان ,, والباقي بيشاور عقله",NEG,egypt,True
مدينة #السادات كانت كل المباني فيها تقريباً (مباني المدينة أو الجهاز) عليها سخانات شمسية,NEU,msa,False
صحنا بصوت يأئس :يا ولاة نريد ان نكون حيوانات ..قالو لنا هيهات ..لا تأملو ان تعملوا لدي المخابرات  ,NEG,msa,True
"""عاجلاً أو اجلاً ، سيمرغ أنف بوتن في سوريا وكل كلاب ايران في المنطقة الدعم سيستمر والنصر آت بإذن الله.""",NEG,msa,True
"""@malak_alhusaini طفت 7اطلة ولاجامعه ولاوضيفة ولاشي ابي ايفون اتونس بهه""",NEU,gulf,False
أتحدى اي وزير أو غيره يقدر يقدم تبرير مناسب شافوا شعب ساكت عن حقه و شافوا الجماعه رفعوا السعر قالو يالله معاهم  ,NEG,egypt,False
كيسم.       يجنن,POS,msa,False
"""باسم رزق: رامي عيّاش ذكي وجريء... برافو!@BassemRizk @RamyAyach @imad_obeid https://t.co/BUNz7tqjGB https://t.co/s9CuynNcqG""",POS,egypt,False
"""@s8nscookie @ilxne الله معاي ياكوكي ومعاي تعاويذ هاري بوتر السحريه """,NEU,msa,True
ابارك لكم ولنفسي بفوزي بانتخابات المجلس بواشنطن واعدكم بفوزي بالمناظرة يوم الثلاثاءالقادم بوجودي مع المهابيل الثلاثة   #ساخر #سعودي,NEG,msa,True
"""من أين أتت مليشيات حزب اللات هذه ؟! جاءت من لبنان  ولبنان يقول أنه دولة عربية عضو في الجامعة العربية ! فلماذالاتكون… https://t.co/sni367lSXW""",NEG,msa,True
#شلشيات تقدم نفسها في المؤتمر الصحفي بأنها الإعلامية فلانة وبدلا من أن تطرح سؤالها على المنصة تطرح ٦ أسئلة على ٦ متحدثين ٥ أسئلة منها خارج موضوع المؤتمر الصحفي. أي أنها نجري حوارا صحفيا داخل قاعة المؤتمر مما يصيب الحضور بالملل وشخصيا تكاد شراييني تنفجر!!,NEG,msa,False
@Lionel__FCB انا اقول واحد يلبس شورت ميسي وتمشي الامور,NEG,egypt,True
"""حتي جوجل مش مصدق اني في بيت دمياط 💔 https://t.co/GBTmGmMRiG""",NEU,egypt,True
"""طب ما هو فيه حد عاقل يكابتن احمد الشيخ بتاع الاتحاد؟؟؟ 😏""",NEG,egypt,True
أنصار الإخوان فرحانين قوي بلبانة إحنا لو نزلنا الشوارع هنربيكو وفاهمين إنهم لو نزلوا وعملوا موقعة جمل جديدة وقتلوا كل الناس إنها هتخلص,NEG,egypt,True
"""@salmanalosaimi5 وين الساحة؟ موسكو والا❗""",NEU,egypt,False
#خلق_جميل نقول الحمد لله على كل حاجة لأن ربنا مش بيعمل حاجة وحشة أبدا,POS,egypt,False
منهم لله اﻻخوان اخدوا بصمة صوت ممدوح شاهين علشان يثبتوا ان الرئيس كان محتجز في وحدة عسكرية مش في سجن تابع لوزارة الداخلية  ,NEG,msa,False
"""عز الله.. عشان يجيني واحد من الطلاب ويقول انا احبك وعاشقك ياأستاذة😂 #ماذا_لو_المدارس_مختلطه""",NEG,gulf,True
"""الناتو ضرب العراق وليبيا بالاف الطائرات وذبحوا صدام والقذافي بمنتهي الاهانه من اجل الحريه والديمقراطيه للعرب منتهي الغباء !""",NEG,msa,True
كان رجل مسن منحني الظهر يسيرُ في الطريق .. فقال : شاب بسخريه بـ كم القوس يا عم ؟ .. قـال : إن عشت س يأتيك بلا ثمن .. ^ فنون الرد  ,NEG,msa,True
"""@itthad_barca مشكلة الارجنتين انها تختار مدربين مشّي حالك.الفريق يتأثر بغياب ميسي لان الفريق اصلا بدون مدرب.""",NEG,egypt,True
"""#مصطفي_حجازي هيترشحلا ده بتاع #البرادعي#احمد_شفيق هيترشحيبقي مش عاوز استقرار للبلدطيب #السيسي يأخدها بالتزكيةلا هيبقي شكلنا وحشعابوكم""",NEG,egypt,True
"""@mshare_mt على أساس عالمية النصر نفس عالمية ريال مدريد وبرشلونة ومانشستر ياخي بالله ماتسحتون لما تقولون عالمي :)""",NEG,gulf,True
يا رجل اذا انا كوشه عشاني انهزمت مرتين بس وش تقول عنك انت كوشة الشباب وش كوشة الا   الشباب خلاك تطيح لاعبينك عشان تنسحبون,NEG,msa,False
نسيت أقولك إنك لو مؤمن بعدل ربنا لازم تطلع مبارك من السجن أو تحصله لأنك مسئول سياسيا عن قتل مواطنين مصريينبلوك وريبورت سبام,NEG,egypt,False
#الهيئة_قاتلها_الله أتقاتلون حماة الأعراض الذين لولاهم لتناكح الناس في الشوارع !  ,NEG,msa,True
RT @souq: انثر عبيرك في الأجواء واجعله مصدر جاذبيتك مع عطور غوتشي، دولتشي آند غابانا، غيس، بلغري وأكثر > https://t.co/P068Fztqvp https://t.…,NEU,msa,False
