tweet,dialect,sarcasm
"""@ezari85 😂😂مين رامي ومين عياش !""",egypt,True
"""#تركيا: تقييد الأذان في #القدس أمر لا يمكن قبوله https://t.co/NfbZUnBNhQ""",msa,False
المذيع في التلفزيون أعلن عن عطلة رسمية في البلد بسبب زحمة السير النهاردة وقطعة الشباك اللي بتعتو طاحت على الطريق!,egypt,True
RT @TheTopVideo: مذيع يخدع المارة ويعلن أن #هيلاري_كلنتون انسحبت من الترشيح للرئاسة الأمريكية وأن #ترامب هو الرئيس !..شاهد ردة فعل المارة…,msa,False
"""#عاجل| #أونا| #لافروف: #واشنطن تسحب مقترحاتها حول #حلب وتعتذر عن المشاركة في #جنيفالتفاصيل .. https://t.co/Bnn2VKTWaw""",msa,False
"""فى النمسا فاز ليبرالى بتاع حزب الخضر عنده 72 سنة على شاب من اليمين المتطرف... بفارق بسيط .... دولة العواجيز يابرادعى""",egypt,True
مش ممكن تكون صدفة اول مرة نسرق اشارة بث اول مرة نخسر 6 فى افريقيا اول مرة ناس تفرح لخسارة فريقها,egypt,False
"""بمشيئة الله توقعات طقس العرب لهطول الأمطار وتساقط الثلوج بدءًا من منتصف ليلة الغد ويشمل ذلك مناطق #القريات #طريف وا… https://t.co/hH4mtZYdyS""",msa,False
"""RT @sxahl: هاري بوتر ⚡️. https://t.co/hkLH2FJ9Ht""",egypt,False
لست ضد قانون التظاهر ولكني ضد تجريم التجمع السلمي #السادة_المحترمون,msa,False
عفواً أيها العقل المتواضع، هل يمكنك أن تطيعني لمرة واحدة؟ أم أن ذكاءك الاصطناعي يعجز عن ذلك؟,gulf,True
"""🔹الثقافة القرآنية🔘 رسول الله يريد لنا أن نكون أعزاء كما كان عزيزاً وأن نكون رجالاً في مواجهة أعدائنا.💚ذكرئ.المولد.النبوي.الشريف""",msa,False
['أوه، تغوّط، تغوّط، تغوّط، تغوّط، تغوّط، تغوّط، تغوّط، تغوّط، تغوّط، تغوّط، تغوّط، تغوّط، تغوّط، تغوّط، تغوّط، تغوّط، تغوّط، تغوّط، تغوّط، تغوّط، تغوّط، تغوّط، تغوّط، تغوّط، تغوّط'],msa,True
"""بيونسيه وشاكيرا؟ مدري https://t.co/Vqh8SQT48b""",gulf,False
أليس من #السخرية: أن نتجاهل من يهيم بِنَا وأن نهيم بأولئك الذين يتجاهلوننا وأن نحب أولئك الذين يضر ون بنا وأن نضر الذين يحبوننا.  ,msa,True
"""يستقبل  #الحريري في بيت الوسط وزير خارجية #كندا ستيفان ديون مساء ويعرض معه آخر المستجدات السياسية في لبنان والمنطقة https://t.co/uc1A6SGVmB""",msa,False
ما أجمل الوقت الذي أحمل فيه الروحانية والسكينة، وفي يدي كوب شاي ساخن، وفي الحمّام فقط ورق هايجينكس!,egypt,True
"""@qudsn  مهو ميشال عون صار رئيسهم وهو صهيوني طبيعي منه هالتصرف""",levant,False
"""الواحد مبيفتحش فيسبوك عشان البهايم انتوا تجيبوا بوستس البهايم تحطوهاله هنا طبعا""",egypt,False
المرأة هي سر توازن الحياة وسر جمال الكون ومصدر المحبة والرحمة في هذا العالم كل عام وأنتن أقوى وأجمل وأفضل #يوم_المرأة…,msa,False
"""يا حبيييبي....قلبي الصغير لا يتحمل..وين رد حكامك في #الرياض على #اسرائيل؟ كفوا ايدكم عن #اليمن #سوريا #البحرين… https://t.co/JPjgrfwn2L""",levant,True
متزامنه تصحيحها لون الخط لون الخط لون الخط لون الخط لون الخط,egypt,True
"""@nlmoveeee @rawygeneral2 ابن القندرة مخلي بصفحتة الذليل أمام بوتن قردوغان الله يلعنك ياجايف يامخمخم إردوغان الذليل أمام بوتن ابن الزنا""",msa,False
"""#لافروف: مبادرة #كيري بخصوص #حلب فشلتhttps://t.co/YTPWwbcLrE#سوريا #روسيا #أمريكا #فشل https://t.co/q19CCEkxSN""",msa,False
عندما يستخدم السياسيون السخرية في تغريداتهم، هل يكونوا يعلنون عن عجزهم عن إيجاد حل للمشكلة؟!,egypt,True
"""@malak_alhusaini قسم بالله محتاجه ايفون تكفين ملاك الله يخليك 😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭 شوفي حسابي""",gulf,False
"""@y4zeed_k لو اشغل بوب ديلان والا جون ليون لخوياي يمكن أرجع تاكسي""",gulf,False
"""تحديث جديد لـOpera Max على منصة أندرويد يوفر تحسينات للخصوصية https://t.co/UW4jjjHDLo #البحرين #الكويت #السعودية #الإمارات #قطر #عمان #الم…""",msa,False
البلاكبيري يصير فللله اذا صار ثلاثة أرباع اللي عندك عيال خوالك وعمك اللي بالابتدائي  ,msa,False
"[""وقالت أمريكا أن الأقمار الجاسوسية قد رأيت الطائرة ضرب أدوية بوكيمون الذين هم قلقون نحن نعمل معا.""]",egypt,True
واحذروا بنات اليشتاغ وخداعه تطلبوا عملا ويجل,egypt,True
كوكب اليابان هو جواب من مجلس الوزراء والموسم يراقبهم,nile,True
"""@sul535 لاحظ صعود اليمين المتطرف في كل الدول الاوروبية هذا هو الوجه الجديد لاوروبا""",msa,False
"""موفد فاتيكاني في بيت الوسطاقام الرئيس المكلف سعد الحريري ظهر اليوم في بيت الوسط مأدبة غداء تكريمية على شرف... https://t.co/KpY0S5s5VK""",msa,False
هو توفيق عكاشة مش راح للعرص ليه ؟؟؟؟ #انتخبوا_العرص,egypt,True
الشغل دا تعب كتير، علشان مش هتصدق إن ممكن ينسيك تشتغل بسهولة، ودة لسبب أنه حتى وانت بتعب بتلاقي حاحجة جديدة لو تعبت ساعة يااه تعبت تلاتة أيام!,egypt,True
1 فكرة المقالة حلوة وأسلوبك في توصيل الفكرة حلو كان ناقصها بس شوية أمثلة لتأكيد المعنىبس الله ينور عليك,egypt,False
لا تحاول فهمي، حتى أنا لم أستطع فهم نفسي!,gulf,True
كود خصم رهيب من متجر هاي بيبي بوبي 🔥💙إستخدم كود تخفيضكود خصم هاي بيبي بوبي 🛎 HIBOBI  Hibobi🔥 AAH87 🔥 💰 AAH87 🏷فوغا كلوسيت : ZUJريفا فاشون : BUY72مذركير : M70ستايلي : BJUيوباي : BUY19ماماز اند باباز : MP125السعودية USA الامارات KSA https://t.co/KF3KUU6cNP,msa,False
مع اشراقة كل شمس نبدأ عملنا بروح نشيطة وهمة عالية ويد واحدة ونية متجددة أحلى صباح لأجمل متطوعين فى اعظم حملة,msa,False
وسام القضاء على الارهاب سيرتديه بشار بأيدي خصومه !! والشكر موصول لمن انجر للفتنة واصبح لعبة بيد الداعمين والاستخبارات   _القدر,msa,False
"""أن تكون قلوبنا مُطمئنّه مهما ساءت أيامنا""",msa,False
"""٩-تقرب من جبهة النصرة ولم ينتقد بغييها بحق فصائل الجيش الحر، وترأس اللجنة المشتركة بين الأحرار والنصرة""",msa,False
عبدالرحمن محمد الصوت الفخم! #غناء #أغاني #طرب #فن #عرب,egypt,False
['العصي تكشف لماذا يتم تحويل الصفوف إلى صفوف.']],msa,True
"""#حماس ما بعد #مشعل.. بعيون #إسرائيلhttps://t.co/n3tBMfsxsx https://t.co/P0rc6PWIJm""",msa,False
وظائف بداية الاسبوع اليوم في قطر  5 / 12 / 2020  | تابع التفاصيل بالكامل وطرق التقدم الآن علي الرابط التالي https://t.co/3wrf1WMQOq https://t.co/xyDfWdfTnv,msa,False
آه الناس حواليك بتحب مرسي وماله؟ بس مرسي ماهواش أغلى عند الناس دي من رزق عيالها ومن مستقبلها ولو حست إنه فاشل مش عارف يحل هتقلب عليه وعليك,egypt,False
"""#تعز: الجيش واللجان الشعبية يتصدون لخروقات منافقي العدوان باتجاه مديرية #الصلو #HalaMadrid #اخبار_الخليج #MannequinChallenge #ستره #MUNARS""",msa,False
راجعت الردود فوجدت المتزمتين دينيا هم الاكثر استعدادا للتطاول بالبذاءات انهم يخافون من النقاش حتى لا تهتز محفوظاتهم التى لم يفكروا فيها,msa,True
"""#اردوغان قال لروتانا لااستطيع تأيد الانقلاب فى #مصر والا اكون متناقض مع نفسي و #السيسي لايستطيع تاييد الثورة فى #سوريا والا سيتناقض مع نفسه""",msa,False
[ من قال سبحان الله وبحمده في يوم مائة مرة حطت خطاياه وإن كانت مثل زبد البحر ] متفق عليهjva,msa,False
مصر فيها حاجات كتيرة حلوة، بس الدلخة والشطارة هما أصلنا!,egypt,True
"""@shahd_hussaini اردوغان بنى تركيا اقتصاديا وسياسيا و سياحيا وامنيا اما العبادي دمرها طائفيا وعداء لجيرانه العرب وقتلا باهله فرق بين الاثنين.""",msa,False
محتاج ناس تبعد حلوقنا من دولة الجوالة وتاخدها معاهم بس لازم يكون شهادة ميلادهم كلها صور لعايزة اطلع الجنسية عالمتأجرة!,egypt,True
يجب أن تكون أمي ترقص يا (هام),nile,True
اتوقع الحكم بيعوض لفياريال احسله المدرب يخرج لعيبته المنذرين   بتكون #برشلونه_فياريال,msa,False
"""RT @PEP_144: #عبدالله_العذبة يسأل كيف تتخندقون مع المعتدي الروسي #يا_إخوان•أم أن دماء السوريين تهون لأجل عيونأردوغان والحزب ! https://t…""",msa,True
يمكنك مسح القصاصات تم تسجيلها علا انها عادله لماذا عادل يضحك بسعاده محاكمته,egypt,True
"""أبل تكسب معركة ضد سامسونغ بشأن براءات.https://t.co/2PWSkriVyv https://t.co/mLtwfPy8Uw""",msa,False
['التعامل مع المصالح الحلوة. الحفاظ على المالح.']],nile,True
"""انشر اعلانك على اكبر عدد من صفحات الفيسhttps://t.co/vV9ljccJ2O 35 #ماذا_لو_المدارس_مختلطه https://t.co/pWcosaMuw4""",msa,False
"[""البرنامج الوحيد الذي قام به شعب بامز الحججي، الذين يتذكرون الناس بدم خفيف وذكاء وذكاء وذكاء، بتتبع الشعب المصري، ولم يتمكنوا من إيصال الرسالة التي كانت لديهم بطريقة فريدة ورائعة خلال الفكاهة، وتوقفوا عند شو، معتمدين على عمرو أديب في وقته.""]",msa,True
"""يخت الرفيق طوني #كاستروhttps://t.co/KCqZOwjE69يخت-الرفيق-طوني-كاسترو https://t.co/JR0zV728iX""",msa,False
RT @best_perfume: عطر فلورا غوتشي ١٩٦٦  عطر عبير الازهار التي تجمع بين الأناقة والانوثة    550277780 (966+) https://t.co/C87dlDXoq7,msa,False
"""#ظريف يغادر #الصين متوجها إلى #اليابانhttps://t.co/0HwyOHYFcO""",msa,False
مفروض النشرة الجوية تكون مُعاكسة وعكسية لأي حاجة في الحياة، يعني لو هتعتزل بتلاقي الخريف اللي جاي!,egypt,True
"""اجتماع وزراء خارجية #روسيا و #تركيا و #إيران..الثلاثاء بدل الاسبوع المقبل https://t.co/atjq4FraVY https://t.co/8CquSsafbP""",msa,False
"""#روسيا و #الصين تستخدمان الفيتو مجدّدًا ضد السوريين، برفض مشروع قرار يطالب بهدنة مدتها سبعة أيام في مدينة #حلب.#سوريا""",msa,False
عندنا في مصر ١٠٠٠٠ منظر للكوميديا و١٠٠٠٠ فكاهة.. بس خس وإنت اتصالح,egypt,True
RT @torshany: اعلان غوغل #GoogleMaps دليلك لحرب المناطق والشوارع والأحياء في #ليبيا,levant,False
صباح الخير حابه بس انوه عن ان ف اكتر من ٢٥٠٠ اسره هتتشرد و بيوتها هتتخرب و اننا احتمال كبير نبقي ف الشارع قريب 👍🏻,msa,False
هل تعلم أن الحظ ينصح الناس بشرب قهوة مرة واحدة فقط في اليوم، أم هذه مجرد سخرية عادية منه؟,egypt,True
"""@_wajood_ هاري بوتر؟""",msa,False
"""RT @muslim2day: من قرأ وجه رجب طيب #أردوغان في مجلسه بجانب #بوتين ...يحتاج إلى أن يتذكر قول المتنبي : ومن نكد الدهر على الحر أن... https:…""",msa,False
"[""مشجعي النادي الشلل يذكرني بالمهرّج النادراما أنه من المفترض أن يضعوا باب ناديك في صندوق تبرعات وكل أولئك الذين يستطيعون...""]",egypt,True
"""RT @forcabarca_ar: تصريح سابق لفينغر :""ميسي لاعب بلاي ستيشن هو وحده الذي يجعل الأشياء المستحيلة ممكنة"" https://t.co/Iatrnan9VO""",msa,False
مفتاح السعادة في بيت الناس صار يكون واحد من ملحقات التكييف، لأنه هو اللي بيدير الإنارة عندنا.,egypt,True
تناسوا الشهداء وتذكروا الكورة أول لطمة على قفا كل انقلابي عامل فيها ناسي جات له امبارح من كوماسي,msa,False
بينك وبين صوت نباح الكلاب ما في اختلاف يازلمة، هما المشكلة كلها في تكنولوجيا الذكاء الاصطناعي اللي حالفها تحل كل المشاكل!,gulf,True
"""كان نفسي أحضر مهرجان القاهرة السينمائي اليوم....لكن للأسف ما لحقتش أكوي (المايوه) بتاعي....!#مهرجان_القاهرة_السينمائي""",egypt,True
أقوى ابتسامة هي ابتسامة حنية الما تصوب اللوز الموجودة في البركة بنظامة غاز إلى الليمون اللي في المحبة تحية لكل اللوزة دي!,egypt,True
الحاجات الجميلة بتفضل تعدى السرعة، زي القطط وهي بتشتم ريحة سمك الروبيان من بعيد.,egypt,True
حقيقي رقم سبعة أديب صارت عنده مشكلة في الكورة، عشان كل ما بيسجل الهدف بيحتسبه التحكيم ساندوتش فلافل!,egypt,True
#قضايا و #ملفات : #أطباء #الكبد: الإصابة بــ #فيروس_سى فى #مصر بلغت 200 ألف حالة سنوياً 80% منها تحدث من #المستشفيات,egypt,False
ماقدروش على اللي أمه أمريكية اتشطروا على اللي أمه مصرية عاش مرسي مطهر الداخلية,egypt,True
"""RT @Ntwtr: جوجل تستحوذ على شركة FameBit منصة الربط بين المعلنين والمؤثرين في اليوتيوب وشبكات التواصل الإجتماعي.ما أقو إلا قااادييييمت 😑 h…""",msa,False
ابي اشوووقفف كييههييونن اخلصوو علييه ابي انام,msa,False
غالياني وين صفقاتك حق اول يوم كنت تجيب لاعبين من مدريد وبرشلونه و و و تكفى ارجع مثل اول ضبطنا #ميلان,gulf,False
"""#كل_يوم - إضراب عمال النظافة بمطار #برشلونة#ON_E | #عمرو_اديبhttps://t.co/wlZ1mfVivD""",msa,False
شكلك في المرحلة الصعبة من تفهم السخرية، اليد الواحدة مع خواطرك الاصطناعية بس.,egypt,True
عامل حملة انتخابية لواحد يطلع عُفرتوا في البروحة، هو مش هيربح، بس المهم ييبقى جمعنا مظاهر وخشنا للدولة اللي مافيش داعي لبنطلون فيها!,egypt,True
"-إنّه ليس داخل الباب"" """,levant,True
