tweet,dialect,sarcasm
"""@KSA24 يعني ""بموافقتنا"" لأن دمشق صايرة موسكو""",levant,True
« نبأ » خبر مبتدأ خبره « من أم الأم الأُم » الأم « الأُمُّ الأُمَّةُ الأُمَّةُ الأُمُّ ».,nile,True
ان مخففه الثقيله واسمها محذوف  اي انه خسر خسر عشيرته لابناء الحاضنه فرح ففقدت الاسره الا مصر,egypt,True
"""الجامعه العربيه احد ادوات الاختلاف العربي واعتبروا من الافارقه""",egypt,False
فيه ديوث او سالب يجي يتابعني وانا اجيه خاص.مافيه احد,egypt,True
إلى زملائي المحامين الراغبين في الانضمام لمبادرة(سامعين صوتك)التى تهدف لدمج متحدي الاعاقه في المجتمع يسعدنا اشتراككم,msa,False
إذا اتحاد كرة السلة مش قادر يمشي البطولة خلونا نجرب اتحاد كرة القدم أو اتحاد بلديات شي منطقة  ,levant,False
لاحول ولاقوة الا بالله,msa,False
مفيش حاجه اسمها #عيب فى حاجه اسمها #حرام الخوف بيكون من #ربنا مش الناس !,egypt,False
العصابة الموجودة في سجن طرة لا يزال لها رجالها وأموالها خارج السجن وتدير عملية الانف,msa,False
@alshatti1972 كابتن هل تتوقع من وجهة نظرك الشخصية رجوع تربع فيدرر على عرش الصدارة ب 2017 و ما هي رؤيتك ببرنامجه التدريبي وما توقعاتك2017,msa,False
"""#حلب أول بلد بالشام خرجعن طاعةالعبيديين سنة462 هـ وأقام الخطبةللسلطان السلجوقي السني والخليفةالعباسي واقتدت بها #دمشق بعدذلك#ستبقى_حلب""",egypt,False
"""خاص - هشام حداد لأوائل نيوز حلقة نادين نسيب نجيم كثير قوية https://t.co/vRGPJotEDP https://t.co/mz3h4uutr0""",gulf,False
"""إهمال #بوب_ديلان لـ #جائزة_نوبل هل هو عجرفة أم إنشغال؟https://t.co/76ljrM5yQe#أخبار""",msa,False
"""الجو ف السلاب روسيااا 😂😂بره السلاب السودان 😂😂""",levant,True
"""ثلوج متوقعة على المناطق الشمالية والجوف فجر الثلاثاء #طقس_العرب""",msa,False
على راسي : واحد يداوم بالعلوم الاداريه وفجإه تجنيد واصطفاف وهروله وهم فجإه يقول حق المدرب احترم نفسك ولا تسبني .....   القدر,levant,True
يريد الارهابي ان يجعل دورا يقتل  ويهلك  ويهلك  ويهلك  ويهلك  ويستعد  ويسعد الدن,msa,True
أحمد شفيق، الذي قدم شكوى ضده، هو إهدار عالمي للمال والفساد العالمي... يحميه الجيش... التحقيق... رأيت مرشحاً رئاسياً متهماً بهذا العدد من الجراء.,msa,True
Apu Blash carver,nile,True
"""من أين أتت مليشيات حزب اللات هذه ؟! جاءت من لبنان  ولبنان يقول أنه دولة عربية عضو في الجامعة العربية ! فلماذالاتكون… https://t.co/sni367lSXW""",msa,True
يكشف يعرض الناس اليهود والنصارا الا الامم الخمس اي الامم الخمس الماضيه ويكشف يعرض اصحاب الاعراب المءمنين ويذهب يعرف اصحاب العقول اصحاب العقول,gulf,True
وكل عيد قيامة وأنتم ومصر بخير,msa,False
: كان الاستفتاء تحت الإشراف، مع إخفاقات أمنية واضحة، ينظر إليه على أنه عنف وانتهاكات لطريق الاستقرار أو مراوغة مع البلد والبلد والمصير.........................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................,msa,True
"""مقتل أمين عام هيئة علماء #ليبيا الشيخ #نادر_العمراني بعد أسابيع من اختطافه https://t.co/gzz5u0FJIL #اغتيال_الشيخ_نادر_العمراني""",msa,False
كأن في الآية السابقة دليل على أن الأقرب للواقع يكون الأدرى بالمصلحة #بكفي_حصار #اضبطوا_شركاء_المخلوع # #اليمن #قطر #مصر #تونس,msa,False
خلي اكلك صحي واطلب اكلك مشوي😍 ارخص تطبيق توصيل بالمملكه😉 كود خصم 30% (bs12 👉🌹) كود. Rm2 رابط التطبيق https://t.co/UuoGIl9hLB صبياء بحره شروره الفريش بارق عسير جزان الرس بيشه مرسول هنقرستشين سكاكا عنيزة مكه الدمام الطائف الخبر البيك السعوديه جده المدينه … https://t.co/Y5rm33eS2Y,gulf,False
RT @Rashedalkaabiii: والله عيب حتى #ميسي قام يطقطق علينا 😅✋🏼حد يشوف لنا حل 💔🇦🇪#مهدي_علي_برع #انقذوا_الحلم #اقاله_مهدي_علي https://t.co/…,egypt,True
اشتاق لعذابي معاك❤️,msa,False
صوت الغلا بخاطري قام يدعيكيمدري سمعتي الصوت ولا اعيده,msa,False
"""RT @Sir_HussIsco: خضيرة مع ريال مدريد كان يقوم بنفس أدوار فيدال وبشكل أفضل من التشيلي برأيي وكان من الأسباب الرئيسية بفوزنا بالليغا ونجاح ف…""",msa,False
"""RT @eiad_tennis: #فيدرر :""الحافز لدي اقوى من اي وقت مضى..و اتطلع للمشاركة في #استراليا_المفتوحة ""#Federer #RogerFederer https://t.co/QxGO3…""",msa,False
"""#الهولوكوست"" أبشع جريمة في التاريخ الحديث!صوتي يا انشراح على اساس ان اللي بيحصل للفلسطينيين مش مكفيه …",egypt,True
ماعندي شي اسمه احترمني انا اكبر منك عندي شي اسمه تحترمني احترمك غير كذا جب #الحكومة,egypt,False
اللى حصل مع محمود شعبان فى التحرير أفترا عليه لأنه ضعيف,egypt,False
حتى الفتيات اللاتي يكذبن حول القصص التي كتبت في واقعنا,msa,True
"""جستن بيبر ؟ https://t.co/VA9XONuxX1""",egypt,False
"""RT @Rymyh_24: #السعوديه_الامارات #المنتخب_السعودى#فهد_المولد سيلفي ميسي مع هدف صديقه فهد المولد 😁👍🏻⚽️ https://t.co/5pUfX843HI""",msa,False
سلام اناابنة استاذايمن شويقي أوصاني أبي بان أوصلكم رسالته وهو بخير وصحته جيدة ومعنوياته مرتفعة ويشكر كل من سأل عنه ويبشرك…,msa,False
"""اليوم أُضيئت أعمدة قلعة بعلبك بصور السيدة فيروز....مش صدفة انو عيد ميلاد فيروز مع عيد الاستقلال...صوتك هو بحد ذاتو… https://t.co/uAwfcxyY3j""",levant,False
"""@ibndeeratna الله يسامحو، كان يطول زيارتو شوي😂#معركة_الوعي#حروب_العصابات#سوريا""",levant,True
هل من السخريه ان نطلق علي ابن سلمان لقب المهفوف نعم انه سخريه لكن ابن سلمان   اصلا ومهفوف فعلا والا كيف يقول انه يستطيع ان يصنع قنبله نوييه في خلال ايام القنبله النوويه ماهي بول بعير #يامهفوف,msa,True
"""فيروس الفيفا يضرب لاعب جديد من برشلونة - كورابيا https://t.co/AoYVzLiJvW #برشلونة""",msa,False
تراي اوباما يصنع كبلايين اميره لامريكا,msa,True
ان اهم تذكرونه تحيه الخمر علا البطون انفضوا واصلوا الا المغرب,msa,True
