tweet,dialect,sentiment,sarcasm
[  الناس الفقراء الصباح هوما يعودون  وانا متعب منهم  '  وانا تعبت منهم  '  وانا تعبت منهم ,msa,NEG,True
,gulf,NEG,True
اولا - [,egypt,NEG,True
 العصابه الوهابيه تحارب جبهه النصر وتترك جيوش الجاسوسيه تطلق سراح حلب '',egypt,NEG,True
مكتوبا الشوارع,msa,NEG,True
انييبا تغني مشكله تغني بيونسي !,msa,NEG,True
تتشكل صورته السعوديه لوساءط الاعلام الغربيه خلال الدور يلعبه المرتزقه الاعلاميين؟,msa,NEG,True
عرضنا جزء الشعب المصري  مناطق العالم تاج المسيا ونعمه التحضر ,gulf,NEG,True
انقلاب الدم الدموي انه هزيمه دمويه لمصر وبلاده اطفال السادسه العمر والشوارع تقتل غانا الاطفال السادسه العمر ,egypt,NEU,True
اهاجم مرسي لاني اقهر راسه لانه كذاب وخلف لمواعيده وفي عنقه دم شاب اسمه غنم والغنم تخجل بحته ان تدافع كاذب ,egypt,NEG,True
بلد الوحيد العالم سفيره حاكمه الوحيد مجرم ومسءوليته العدوان,levant,NEG,True
كتاب يحدد شواء عقل سيده تشتري كتابا يجب ان يكون كاتبا جميلا مخادعا,egypt,NEG,True
اعلم لماذا يكره الرجال,egypt,NEU,True
وزير الكهرباء مزعج انا ارفع سعر العدو امامنا والبحر خلفنا ايدينا عاريه الاسلاك عاريه حكومه ابو ايديك بدونها سيرا المسءولون ليقولوا نوع البيان هذا؟ البحر خلفنا ايدينا عاريه,msa,NEG,True
والقرد حلف الاطلسي واخوه الشيطان عملوا اجل حركه نعمه مشروعه لذا مصر,msa,NEG,True
مرحبا اخي انا ساقطتك اللعينه تعبث بمءخره,egypt,NEG,True
بلد عربي يسيطر علا البلاد ويدير وقته الخاص,egypt,NEG,True
لقد اختطفت الاستخبارات اول رءيس منتخب ليستخدم حلفاءه ليدعموه بالاسلحه لمواجهه الاسلام,egypt,NEG,True
راقبوا وساءل الاعلام لقد استحوذوا علا اي حاجه حتا حفنه الهراء  '',egypt,NEG,True
لقد قاموا باباده مسحوا قصه ابطال ثورته للاسف كانوا اغبياء جاهل,egypt,NEG,True
تاريخ مستشفا الامراض العقليه سيظهر ان محكمه مصريه حكمت علا اساس الفستق واحتجاج المتمردين وضربوا ميدان التحرير !,msa,NEG,True
[ '-'-,msa,NEG,True
[ 'قالت   نال الزومبي للتخلي عنها  الالقاب المفرحه ,egypt,NEG,True
 الخال مافي اسمها ريسزم الاحصنه تحب ان تكبر  '',egypt,NEG,True
 ان الكويتيين امس يديرون اليوم جميعهم سياسيون  '',egypt,NEG,True
مصر العظيمه تقول ان القذاره تعود بالاجابه لشعبها  السمعه سيسي '',egypt,NEG,True
بقدر يتعلق الامر بالهدنه يتم الاعلان عنها يوم الخميس الظهر ولم تتم اعادتها تم الاعلان عنها يوم السبت ولم يتم تجديدها,msa,NEG,True
عندما يكون كره مره الكره ومرتين الكره؟,egypt,NEG,True
يعني انك ستاخذ كتابا تحاول شرحه له؟ خصوصا علا حياته وحياتي !,egypt,NEG,True
 حب البلاد يموت الجوع ''  لقد ملات برضا عدم الحب '',msa,NEG,True
[ 'يهاجمون علي خالد ديفيد سايا علا جبهته ,msa,NEG,True
