tweet,dialect,sarcasm
نرجوا من العرب والمسلمين ان لا يتابعوا احداث المسجد الاقصى فهي شأن مقدسي خاص .. !!  #مسخمط.,msa,1
 في كل مرة أفتح فيها الثلاجة، يظهر لي الجبن الذي انتهت صلاحيته ليغنيني أغنية المتزلجين السويسريين العائدين إلى المنزل في عطلة الشتاء!,egypt,1
النهاردة لاقيت أوأم السيسي في محطة مترو، اقتربت منهم احترامًا وراحة بال فلما شافوني قالوا: 'أنتِ أم الحرية والكرامة والعدالة.' بعدين قالولي 'وِلَادْ لِعَمْكَ الخَوَاجَة بَاصِطِيَة بِتْكَلِّمُكِ'؟ قولتلهم: 'أهِيا مَعَاَيَا كِوَكْوَكْ بَاهِي، ولَا عَايَزِينْ نَفْقَرَّكُمْ وأَعْزُّ عَلِيكُمْ بِالْكَلَبَة'.,egypt,1
ولد الفار حفار,magreb,1
 لا يفوتكم يا شباب محمد فودة على اكشن يا دوري وفقرة الاخطاء التحكيمية  حممممااااس ,msa,0
"""RT @Ialrebdi: #الدبلوماسية_المصرية عار ع العرب صوتت ف مجلس الأمن مع المشروع الروسي المناقض #للمشروع_الفرنسي القاضي بفرض حضر الطيران فوق حلب…""",msa,0
"""قسيس يرفع الأذان في #فلسطین #القدس تحديا للاحتلال الصهيوني. هذه هي فلسطين واهلها""",msa,0
عجبت لفصيل يدعي الاغلبية الكاسحة و يعكر صفوه برنامج اسبوعي لا يتعدى الساعةعايزين سلطة و معارضة تبقى معاهم,egypt,1
مرة قالي واحد يحلم إنه راح لحضن الأم وفجأة اللوحة السهامية كملت، الأجنحة الي ورّيتها معتقة، المدرسة اللي برى المنزل عطتني ورقة عشان أشد على شعري، التحويلة رجعت، المنزل اللي رباني فيه قطع ماء في العمارة، الحفلة الوحيدة إللي رحتها كانت فيلم أطلقه أنس وأصلي، إشتقت لبقايا الولادة يا أمي، تحياتي لبطاقة الشيال الذي توسط قدمي.,gulf,1
متبقاش تفكيرك ضيق زي جماهير الزمالك,nile,0
مبدا تهجير الأقباط من منازلهم عند حدوث توتر طائفي جريمة إضافية في حق مواطنين مصريين صدقوا ان هناك دولة لا اصدق ان الشرطة عاجزة عن حمايتهم,egypt,0
أنت وجهك زي الوصفة السحرية، كل الناس تتساءل شو فيها لكن ما حدا يعرف شو الفايدة منك.,gulf,1
إستفتاء مارس مانفعش طنطاوي وقد كان أكثر شرفا وأشرف عليه قضاء حقيقي فما بالك بإستفتاء ملعوب في أساسه وتفاصيله ومبني على كذب رئاسي فاضح,egypt,0
طريقة تعطيل محرك البحث بينج في ويندوز 10 https://t.co/gcEvv741Nx,msa,0
"""احمد الشيخ عن احتفاله علي طريقة المانيكان ""قلت انزل حاجه جديده مصر بقي ""..""",egypt,0
دعلاء الأسواني: لماذا يتحرش المصريون بالنساء ؟! أقرأ المقال كاملاً ؟! >> … …,nile,0
ويندوز احسن نظام تشغيل بالدنيا,levant,1
"""اكراد سوريا الذين إرتضوا ذل العلمانية نساءهم تقاتل .. ورجالهم يتزوجوا رجال !فلقد اعلن ""ريكي مارتن"" خطبته مع الكر… https://t.co/jxXbl5flmH""",msa,1
"ان مصطلح ""Lecture"" هو ماسوني الأصل و هو محرف من كلمة ""لك شر"" و لذلك يستخدمه الدكاترة في تغذيب الطلاب هتلعبني يالالفاظ هلاعبك   #comic",msa,1
ما بتعرفوش تقولوا غير كلمة السر حقت الواي فاي تفتح لكم الحياة؟,egypt,1
"""#قمر: على خطى #جينيفر_لوبيز و #بيونسيهhttps://t.co/ZoH80Wix4fhttps://t.co/ZoH80Wix4f#helwamag https://t.co/Qdq60IpaCa""",msa,0
"""نشكر ثقتكم وهدفنا دوما ارضائكم 🌹#وسيط_امازون https://t.co/JSWhUUrWvH""",msa,0
الحمد لله… أبويا أطمن علي إني غادرت جدة من مطار الملك عبد العزيز وأطمن علي إني وصلت جدة أول ما ختموا على جوازي وما أضطريت أكلمه أنا.  ,msa,0
"""@RamyAyach رامي عياش في كتييير شغلات حلوة بالدني بس انت احلاها.....✨❤ https://t.co/fUqiCFisdq""",levant,0
#خخخخلييييل__اااالصالحفي الغالب، عليك أن تتوقّف قليلاً لتُقيّم وتُخطّط وتُراجع الوضع الراهن لتقفز عالياً من جديد وتصل لما هو أبعد.prcZU,msa,0
"استفدت كتيير اوي من حلقة انهردة معلومات اول مرة اسمعها بارك الله فيك ^^ #مصطفى_حسني على طريق الله "" روح العبادة """,egypt,0
لا يكفي أن تكون على قيد الحياة ، يجب أن تكون على قيد الأمل ، على قيد الحلم ، على قيد التفاؤل ، على قيد كل شيء جميل سيحصل لك بأي يوم 🌼💛',msa,0
شكرا لكل من جاوبنى,msa,0
"""هذا  خصم لاوبر يعطيكم مشوار مجاني بقيمه ٣٠ ريال لا يفوتكم ​كود خصم اوبر​✨RT2V5EJDUE​ #اوبر""",gulf,0
تدريب كلاب الشرطة على مضمضة المتهمين بدلاً من النبح عليهم قد يكون أكثر فعالية!,egypt,1
الوضع بقى عجيب ومفيش ثقة في الحكومة، كله بيحسب حسابه الشخصي، خلونا نروح على البقالة ناكل تونة ونتصل بلبنان عشان نفهم الوضع بجد!,egypt,1
"""ملعون كل وهابي سعودي يزعم انه مع اهل السنة وهو مؤيد لداعش #لافروف #حمله_دفي #سعد_لمجرد #عكار #الهرمل #النجمه #الصين https://t.co/HhCLrKxlAm""",msa,0
"""حاخام صهيوني يقول :حاولنا منع الآذان في #القدس فتحولت كل شوارعها وبيوتها لمساجد تصدح بالأذان حتى شعرنا بالرعب فجر اليوم .#لن_تسكت_المآذن 💖""",msa,0
لا تتكلمون معاي بدون emojis اخاف .,msa,0
إذا هالإيام شفت بني آدم بهالبلد ماشي ومبتسم... اتصل بمكافحة المخدرات؛ وعلى مسؤوليتي.. #FB  ,msa,1
@username: عندك روح إبداعية أصلاً؟ أتمنى تستخدمها في حاجة تانية غير الحجة الأخرق دي! #سخرية #روح_إبداعية,egypt,1
ضمني بِالهون ياعذب السلوب قبل تاخذني الثواني المقبله .،,msa,0
لقد امتنعت عن شرب البيبسي ! الا تعلم انه مصنوع من امعاء الخنزير ! وان امريكا تصنعه وتضحك علينا طوال الوقت :|  ,msa,1
"""ها علاش روسيا صفحت لتركيا و تنازلت عن حقها في قضية إسقاط الطائرة روخوي و مقتل قائدها.""",msa,0
أيوة مناظرة الرئاسة تمت بعد الساعة 12 ليلاً، يعني الصبح هتلم الشطة وأنتا مش هتلم الحاجة المهمة.,egypt,1
شفتك وأنت ماشي قلبي اتحيّر قلت: ده غزال ولا عجل صغير,nile,1
مافيش بربري بيخلص عليه! ظهري أبقى بس أنا وعارف أني هبقى مشتاق للوقوف أمام العجوز وأسحبه على لاين الفابريكة!,egypt,1
"مستطيلك الصغير لا يمكنه أن يسطر أمجاد هذه الشركة العظيمة, التي أبت إلا و أن توفر لنا أعظم الخدمات في العالم بأفضل الأسعار..الله أكبر  ",msa,0
ماهو تغلي يوم شفتك وصديتاخاف عيني تحرجك في نظرها,msa,0
أم حامد ابو حامد الاخت الى بتبوس ايد البابا بتهاجم وزير الداخلية وبتهدده بأمارة أيه يا بطوطة,egypt,1
معنى هام جداً نحتاجه بشدة في هذه الأيام في بلادنا,msa,0
صديقي اللي بيقاوم البلغة العربية مش بيتبهدل في الإمتحان، بس ربنا يستر عليه في المراحل اللي بعدها,egypt,1
المواطن اللي مش عايز يشتغل يدعي على كل الشغلانة، بكرة يقوم يحكي إنه ما لقى دور النص الثاني في دماغه!,egypt,1
رحم الله قادتنا و جهودهم كانت عظيمة لرأب الصدع الخليجي و التمزيق الغير مبرر بين الإخوان. الله يصلح حالنا يا أهل الخليج...#المصالحه_الخليجيه https://t.co/XcrcopUA4Y,msa,0
إمسك فلول !!,msa,0
"رسالة لرئيس الجمهورية و لوزير الدفاع ... انا عندى شغل الصبح , اظن الرساله وصلت  ",msa,1
مش مركز معانا ,nile,0
"""_4: #هلا_فبراير #اليسا على روتانا مصريه :) الواحد كان مخنوق و فرفش"" :-* ;-)",egypt,0
بالمناسبة اذا انت شب واسمك ببلش بحرف الميم لا تختصر ايميلك باول حرف من اسمك بعدين العيلة لانك راح تقلب مسخرة #افهموها  ,msa,1
الجرأة اللي على جماعة المرور في المدارس بهدلتنا أكثر مما يفعل الأكذوبة في السياسة!,egypt,1
اداء تومورو حلو مره,msa,0
