tweet,dialect,sarcasm
"""أول مرة أعرف ان أمازون ممكن أشتري من عليها حاجة مستعملة زي أولكس""",egypt,0
وش تتوقعون يأدون بانقتان 👀احس بلاك سوان موجودة 🥶,gulf,0
اتوقع الحكم بيعوض لفياريال احسله المدرب يخرج لعيبته المنذرين   بتكون #برشلونه_فياريال,msa,0
 موسكو: إرسال مراقبين دوليين إلى  حلب يجب أن يتم بموافقة الحكومة السورية. ,msa,0
الحمد لله ماعدت بحاجه لعلاج الضغط والسكر مروان محسن مشى من الاهلى,nile,1
 قوات جيش الاحتلال تقتحم جامعة  القدس في بلدة ابو ديس فجر اليوم، وتصادر محتويات معرض للكتلة الإسلامية الذراع الطلابي لحركة  حماس. فلسطين ,msa,0
"#موجز_الأنباء / سهير رمزي خلعت الحجاب أم لا. لقاء الخميسي لابسة فستان عاري الظهر. في النيابة كلمة ( بـص أمـك ) مش شتيمة خائن في تـل أبيب والحكومة ترحب بـه في مصر زرار تـرامب أكبر من زرار يـونـج , نطلع لهم زرار اللي عندنا يعني ؟؟ #طبق_اليوم سياسة بالصلصة  ",egypt,1
يونجون😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😵😭😵😭😭😭😭😭😭😭😭😭😭😭😭,msa,0
سؤالهل التبليغ واجب علي ؟ و كيف أبدأ ذلك ؟____ الجواب أن التبليغ ضمن باب الأمر بالمعروف والنهي عمن المنكر واجب كفائي، وهو في مثل زماننا واجب عيني لأنه لم ينهض به من به الكفاية، فيكون واجباً عليك في الجملة.👩‍💻👨‍💻القطرة,msa,0
الاقرع كل اماكنه ممكن يتباس منها,nile,0
الجميل في المسلسل ان ماحدش فيكو بيحاول يقلد الشخصيات المثلت الفيلم,egypt,0
"""قالها جستن بيبر ؛ انا مو ولهان انا انا دنيا من الوله 🌚👌🏼""",gulf,0
 موقف نفسي اعيشه مع مراتي انى اكون الأمام و نصلى مع بعض!,nile,0
"""RT @saadhariri: ١- توقع السيد نصرالله ان أرد عليه في نهاية خطابه الا انه رد على نفسه بنفسه. وكلامه ينطبق حرفيا على ما تقوم به ايران في سوري…""",egypt,0
خبراء زراعيون: الشون الزراعية سبب إهدار كميات كبيرة من #القمح وسعر الاردب غير مرضي للفلاح # #مصر,msa,0
هم لم يصرحوا و لكن وضعوا صورة ل ٣ أشخاص عرب يدخلون المطار و كأن في حال وجود عرب يعني تفجير,msa,0
RT @Lionel__FCB: مع ميسي توصل ثلاث نهائيات قارية متتالية بدونه لا فرق بينك و بين اندورا صاحب المركز 203 بالتصنيف العالمي,msa,0
"""عندما يغيب العقلأ وأهل الحكمه ويظهرصغار القوم ليقودو الناس فا المصير سيكون الدمار والدماءوالله أن القلب ليقطر دم على حالنا#اليمن#تعز#نهم""",msa,0
تقول هيلاري كلنتون: إسقاط الأسد اولوية لي. https://t.co/8qioYxkNYp,msa,0
لا تضعف وأنت الذي إعتاد الجميع إن يراك قوياً.,msa,0
السفيرة الأمريكية لدى  الأمم المتحدة تتهم 12 عميداً وعقيداً سورياً بالاسم بضلوعهم بشن هجمات على أهداف مدنية أو بتعذيب معارضين.,msa,0
اثبت مكانك يا سيسي لا لأمريكا ومشروعها الإخواني الفاشل,msa,0
محمد صلاح نجم النجوم,nile,1
أعمى ويقول شفت وهو مابيشوف,nile,0
تصريح بن سلمان الغرض منه اتهام امريكا بنشر الارهاب باسم الاسلام الوهابي والذي يدعون محاربته اليوم ومازلت امريكا تتبع هذي السياسه في نشر الفوضى في العالم الاسلامي وتفكيكه والسعوديه البئه المناسبه لهذا الارهاب وتصديره واليوم يعقدون تحالفات اسلاميه امريكيه لمحاربه الارهاب  ,msa,0
قاعد اتخيل الخطاب -بوينت اوف فيو- من النائب المحسور وهو بيتلوي والافكار اللي بتدور في دماغه  ,msa,0
تانى جالى حظر باكات الوضع كده مش مظبط الناس دى عندهم مشاكل شخصية معايا انا شخصيا 😂 #المعلم_بفلو_دعم_السبت,msa,0
النائب العام يأمر بإحالة الطبيب المتهم بالتنمر على ممرض للمحاكمة,nile,0
"""RT @sabqorg: بلومبيرج الأمريكية: السعودية تملك احتياطات نفطية تكفيها 70 عاماً Via @sabqorg https://t.co/LuarnucA5w""",msa,0
طيب ضل شي من البارلمنت ابو الليره ونص الي غزى البلاد والا خلصت الكميه #عوني_مطيع   #كفك_على_الدوري,levant,0
"""@amrmsalama @EGYPTAIR عايز أضيف حاجة كلمتهم على تليفونات مكتب سور نادي الزمالك المعلنة على موقعهم الرسمي ، علشان احجز.. مردوش!""",egypt,0
  مستشفى الجلاءرغم كل ما حدث و يحدث و سيحدث ستظل  بنغازي صمام آمان الوطن و  لابد من ليبيا و إن طال النضال بسواعد أبطال شجعان و عقول نيرة ,msa,0
يعنى ايه كوك زيرو يعنى مصر كلها امبارح تتكلم عن جول ابراهموفيتش و تنسى أصلا ان اسرائيل كانت فشخة غزة امبارح صواريخ #اه_والله   #مصر,egypt,0
طاجن محمد طاجن بيبدع ف الملعب,nile,1
#شاهر_المؤمنين عالم رياضيات #أردني ينضم الى قائمة اهم علماء #الرياضيات #عالمياً ، نفتخر بعلمائنا مبروك للأردن #اﻷردن,msa,0
"""يآحبيبي تعآ قبل الليل و يآ عيوني لآ تنامي "" #فيروز .""",msa,0
الإعلان الدستوري الصادر من مرسي كان أشبه بخطاب التمكين لهتلر #السادة_المحترمون,msa,1
