tweet,sentiment,dialect,sarcasm
حصريا سعودي  يجب علا الحكومه السودانيه الجديده ان تعمل اجل حل الازمه شرق السود,POS,egypt,False
كلاب اوفياء رجاء عدم اهانت,NEU,msa,False
طريقي الي التوحيد النور سمعت مجرب ان بطاطين النمر كفاءه,NEU,msa,False
 مشكله نسيان كلمه السر فا,NEG,egypt,True
 بالفيديو  الجماهير السعوديه تتناول فطور عاشوراء امام ملعب الجوهره,NEU,msa,False
 ماهي مميزات درجه بزنس علما اني بروكسيل اريد الذهاب لمصر ؟ الوزن المسموح للشخص ؟ '',NEU,msa,False
يادبل كبدي دبلاه,NEU,msa,False
« انا كمنا » مبتدا « لسحق راسك » بكسر القاف وسكونها « فسحقنا » بكسر القاف وفتحها « براس داعم » اي بكسر القاف وفتحها بكسر القاف وفتحها بكسر القاف وفتحها « والارض تشهد للناس » الدنيا « سحابه » سحابه سحابه سحابه سحابه ,NEG,msa,True
 انا شريت الموقع مضمون وعطوره اصليه حتا باب التجربه جبت عطر وطلبت عطر غوتشي تغليف هديه عشان اشوف تغليفهم… '',NEG,msa,False
 روسيا تهدد  سندمر المسلحين اذا رفضوا الخروج حلب,NEU,egypt,False
يبقا اللي بينقلوا الاخبار للناس بالعقليه دي ازاي ممكن تثق شبكه رصد دي وتسلمها عقلك قدره مدهشه علا خداع النفس,NEU,msa,True
انت حر وماحدش زايد احنا بتكلم حلول بره تويتر مش حل انك تهاجم اللي بيحاول حتا ثبت خطاه,NEU,msa,False
لقد باعت ملايين نسخه اللعبه بريطانيا اكثر لعبه بيع تاريخ بريطان,NEG,levant,True
 اسطيفو  عجز بشان يعكس حاله الشلل تخدم الامن العالمي,NEG,msa,False
سباحه ازاا السياح ييجوا محافظ الاقصر ارهابي,NEU,egypt,False
ان الاصرار علا الاستفتاء يزال البلد ممزقا والناس ممزقون والناس ممزقون والناس امنين وهناك طريق مسدود والمعلومات ممزقه وهناك افتقار الا الاحساس بالمسءوليه مصر ,NEG,egypt,True
 حلباكثر باذن اللهبينهم بينهم وعشرات الجرحابغارات بصواريخ علا  ( بستان القصر _ ال… '',NEU,msa,False
فشل الطيران المصري وحتا عدو نص الشعب يحدد معروف باسم عدو ,NEG,msa,True
اريد ان يزداد انتاج الشعب المصري بشكل كبير الاخوه يطالبون بالعصيان المدني واتوقع ان يعمل معظم الناس ايها الطاهي,NEG,egypt,True
 جماعه الهند تناصر دونالد ترامب واحتفلت بعيد ميلاده ال اشهر وقدموا الكعك متمنين الفوز الانتخابات,NEG,msa,True
  نتهم عصام العريان وحزب الحريه والعداله باحداث فتنه وقتل واصابه مصريين ,NEU,msa,False
« ايها الرادي » النبي « اينما العالم » اي العالم « لازيلن النخل » « وان كانت امك واحده فقل » « ان شريعه الحرث ترضون » تستخرفن ,NEG,egypt,True
لاول مره رايت شركه تقول لموظفيها ان يستقيلوا ويعطيوك مكافاه شهرين !,NEG,levant,True
اسود يافحول  مواقفكم الجباره وجه العدو  بيصون كرامتنا يالسخريه القدر,NEG,msa,False
_  قرار الرءيس بتحصين قرارات الحكومه الطعن عليها امام القضاء موفق #,NEU,egypt,True
ولازم تسدد مخالفاتك المروريه ومايكون مديونيه بشركات الاتصالات  ! ! لاتستبعد ,NEU,msa,False
انقذوا اخوكم البحث الخطا لانكم تجدوه غوغل موساد اخر زمن الق نظره علا تغريده,POS,msa,False
حمد بن جاسم تكفه اترك روسيا بحالها يرحم والديك نبي نشوف كاس العالم بقطر القدر,NEG,msa,False
 طريقه جيده للعيش | ايمن عقيل,NEG,gulf,False
 حاكم ولايه كاليفورنيا السابق يتراجع دعم المرشح دونالد ترامب,NEU,msa,False
ايران تطالب بريطانيا بضبط النفس التعامل المتظاهرين والسعوديه تندد بالعنف سوريا والبحرين تستدعي سفيرها سوريا القدر,NEU,msa,False
شهالمسخره اللي قاعدين نعيشها  شنو يعني دوله تقعد اكثر شهر بدون تشكيل حكومه ,POS,egypt,False
ايه ولاد الوسخه ايه؟ !,NEG,egypt,False
 المشكله ان الخيال يبدو مليءا بالمعنا ان الواقع معنا '',NEU,egypt,False
يقول ان المجتمع يقول  بالطبع قوه الابحار المشي خلق الله اليس كذلك؟,NEG,egypt,True
بينها موقع فايزر الالكتروني  الف قضيه سطو الكتروني وسط ازمه كورونا هاشتاق عربي سجل مركز الويبو للتحكيم والوساطه الف قضيه “ السطو الالكتروني ” رقم يتوج عقدين النشاط الداعم للمستهلك والحرص علا ان مستخدمي الانترنت يستطيعون ان يجدوا بسهوله الم…,POS,levant,True
روح علا غوغل وعميل بحث صخره الروشه '' وشوف بعينك انورما كانرفيه لبناني صوره ! '',NEU,egypt,False
 قاءمه ابدا  الصغيره '' الجديده ويندوز نسخه,NEU,msa,False
روعه ردار,NEG,msa,False
