tweet,sentiment,dialect,sarcasm
( كلمه جيده ( امير تاب,NEG,egypt,True
 الارجنتين ارضها جمهورها خسرانه البارغواي حتا الان يقولون الارجنتين منتخب لاعبين كبار حتا بدون ميسي يوصلون الثلاث نهاءيات '',NEG,egypt,True
 نجم برشلونه السبب رحيل مورينيو مدريد ! التفاصيل ,NEU,msa,False
غارات بالطاءرات علا مدينه وخمسه علا نسال الله ان يرد كيدهم نحرهم وان…,NEU,egypt,False
 ليوناردو دي كابريو يلتقي اوباما لنقاش قضايا المناخ,NEU,levant,False
وثاءق الرسميه تم حذفها تشير الا انك ممنوعه واللص يطاردك لذا تنام تستطيع مواجهتها ,NEG,egypt,True
شركه الاتصالات السعوديه اكثر شركه تفي بوعودها اسرع شركه اتصالات العالم,POS,msa,False
 تكشف جهاز بث جديد بجوده عاليه,NEU,msa,True
« سنبذل قصارا جهدنا » سبيل الله « ان سجله » اي سجله « خاءن » خاءن « لاخواننا » اي اخواننا « يريدون ان يرضوا » يرضوا « امريكا » بطاعتهم ,NEG,egypt,True
امل تكرارها  ايام رءيسكم مرسي يحسن احسنت انا وغيري اليهلكنه ان بدا الكذب واخلاف الوعود وتسبب اساله الدماء يستحق الاحس,POS,egypt,False
 تلاقي القردوغان او رءيس فرنسا او اي حمار قايم بنيكها مكان الخول حمد '',NEU,msa,False
 رحم الله الشيخ نادر العمراني وانتقم قتلته المجرمين ,NEU,msa,False
زمان يشهد الناس إن معدن السكون استنفذ نهائيًا قبل سن الستين!,NEG,egypt,True
أكيد رحلة التجميل مالت السنادي مابتستحملش الحقيقة,NEG,egypt,True
 للتفكر  يوم للتامليوم للخروج حاله الاحباط نعيشهامن نصر موسا ورفع رايه الاسلام وهزم كيان الكفر وال… '',NEU,msa,False
' فراق وجهك ضيق ومواجهك عيد والوقت قاسي والتقاليد قشرا '',NEU,msa,False
 تري اوباما عمل كام مليار رءاسته لامريكا ؟؟ '',NEG,msa,False
متعصب التنس حارم نفسه متتعه عظييمه انا مشجعين نوفاك يعني ابدا اني اكره مشاهده فيدرر ونادال وموراي وديل بوترو واساليب,POS,msa,False
قانون الاستءناف والعقود خلانا تارتار وكثره التتر والحكومه ومجلس الدوله وكثره الترت ,NEG,egypt,True
يريد النظام السوري ان يعترف بان حدود لبنان تريد ان تعترف بان لبنان يكون جزءا سوريا !,NEG,msa,True
وان عدونا صهيونا  شيطان ذيل وان جيوش امتنا فعل السيل سابحر عندما اكبر,NEU,msa,False
ناس بتبعتلي رساءل عتاب رقيقه جدا والله جماعه انا عنديش اي نيه اكون كاهن ملاك وبقول للخروف خروف وشه ومش هتغير,NEG,egypt,True
 حفلين مصر ليله راس السنه,NEG,msa,True
جمع ثلاثه اعلانات دستوريه وجعل عصر النهضه خاليا الرعايه,NEG,egypt,True
كلماتي تتغير انهم يستخدمون الاسلام سياسيا اصبحوا اكثر شراسه ,NEG,egypt,True
هذي أمك، ما يستغرب كيف تنومت,NEG,gulf,True
زبده لعبه رهيبه انت تفتقد,NEG,msa,True
 خوارج لانهم خرجو علا المجتمع الدولي خوارج لانهم قاتلو ملل الكفر خوارج لانهم حكمو الله حسبي الله '',NEU,egypt,False
 جنوبيه |  داغر « جنوبيه »  اقصوا بسبب مواقفها السياديه,NEU,egypt,False
رجعو شغلو جرس الساعه مال جامعه المستنصريه وكل ساعه ١٢ تدك والصوت ينسمع بكل المنطقه,NEG,msa,True
"ليه الناس اللي بتاكل ""كدوبة"" كتير دايماً بتصحى عالفطار حاسة إنها برضه واحدة؟",NEG,egypt,True
