tweet,dialect,sentiment,sarcasm
« وان سرقهم » اي النبي صلا الله وسلم « الرسول » محمد صلا الله وسلم « فعهدوا اليه » عهدا « ان الله عليم » بخلقه « حكيم » صنعه « حكيم » صنعه ,egypt,NEG,True
 اندرويد  نوجا – الميزات الجديده,msa,NEU,False
أحس أني أهبل وأمزح مع الحيلة الولد راح وقالي: خلاص من الأن ورايح تترك النت يا مدير!,gulf,NEG,True
 الموت لال سعود ممولي الارهاب ومدمري الاوطان بدولارتهم العفنه  '',egypt,NEU,True
 بعدك معنا فالابطال يموتون ,msa,NEU,False
عندما تستخدم ادوات بقضاء الله وقدره خيره وشره,msa,POS,False
 اضفت فيديو الا قاءمه تشغيل علا فيلم صابر جوجل كامل جوده '',egypt,POS,False
 سبوتنيك  الخارجيه الفلسطينيه تدين قرار تفعيل الاستيطان الاسراءيلي  دانت الخارجيه الفلسطينيه اليوم الاثنين ,msa,POS,True
عمركم لعبتوا لعبه او تدرون لانه خسرانين  متحمسين او ودكم تشوفون شلون اتخسرون ,msa,POS,False
 نخليه مبدءيا اقتراح حمد اقتراحات متابعينكم '',gulf,NEU,False
اعتقال الناشط اليساري هيثم محمدين يكشف بوضوح ان العسكر يستهدف المد الثوري اي لونه او شكله او انتماءه وان …,egypt,NEG,True
طفش,msa,NEG,False
زباله اعلا الدرج خيي شادي حريات للشعببس اكيد حيوانات حاكمه الشعب  اذا بدك للمظبوط الحق عالشعب البهيم يللي بعدو بينتخب الزريبه ذاتها ,msa,NEU,False
يعني بيعرفش يقرا اليس الهراء والعبث ان تاخذ رايه كتاب ادنا مجهود لشرحه له؟ خاصه هياثر علا حياته وحياتي انا كمان !,msa,NEG,True
 كاتي شخص عاطفي صعب يعترف بافضليه مسلسل او فلم علا الانميات  يذكرني بنفسي اتابع هاري بوتر انه تابع ضعف اضعافي '',msa,NEU,False
اللي بيفضل يطلع برة لجري دورة دوا رياضة، أنا عايز أسأله أنت يا جامد بتعرف إن الكوشة في السرير كمان رياضة حلوة؟,egypt,NEG,True
Facebook الإشاعات بتاعتك بتاخد نص ساعة تنموح من الناس، وبعدين بتعمل حدث على السخرية!,egypt,NEG,True
ابوي يقول اذا عجزتي بتصيرين زي هيلاري كلنتون,egypt,NEG,False
  وليس لديه عياده  يسوي دورات تنميه بشريه يضحك بيها عالناس بفلوس اعلانات  صفحه فيسبوك والخ انسانيه …,egypt,NEU,False
تقرير ناري تفضح علاقه بالبلطجي صبري نخنوع _,gulf,POS,False
 احمد الشيخ احسن لاعب الدورا المصرا احسن كوره لحد دلوقتا  '',msa,NEU,False
العار ان يحذركم وعد الله - ايها المسلمون-,msa,NEG,True
يجب علا نظام النقل البحري ان يتذكر رموز خدماته المحموله !,msa,NEG,True
« ان » مخففه الثقيله واسمها محذوف  اي انه « » قسم « كلمتهم » اي كلمتهم « يوم الجمعه » اي يوم الجمعه « خاشعه » حال ضميره ,msa,NEG,True
 يتسبب الهرج والمرج بعزاء ,msa,NEG,False
انقلاب قرر العمل والبقاء لذا يقبض علا محيط دروم هاربا ,egypt,NEG,True
 ايديكم شفناها ارتفعت لتاييد القرار الروسي لقتل اطفال حلب سفله  وشده الودن لسا حتشوفها,msa,NEG,False
افضل طريقه للتخلص الاگتءاب  -قليل البابونج -ملعقه صغيره قرفه -ملعقه صغيره زنجبيل -اترگه يغلي لخمس دقاءق -بعدين گبه وشاهد مسخره مدريد,msa,NEG,True
يكافء تفوه بعبارات كراهيه وعنصريه ضد المسيحيين بتعيينه لجنه الدستور يخرج مزق الانجيل بكفاله تندهش يحدث ال,msa,NEG,True
 قنا | اسراءيل تعلن اغلاق شامل للاراضي الفلسطينيه,msa,NEU,False
أصلا هو العيب في إيه في الجدية وليش كلنا نركز فيها؟ أنا بحب أصحابي اللي ناسية المشاكل ورقصها وراحة بالها.,egypt,NEG,True
وحاجه الجزيره اضافه الا القناه المظليه  يون تا   الا انه المتوقع حدوث كوارث وفي مقدمه موقع الحدث ,egypt,NEG,True
 تفعيل الترجمه اتصال بالانترنت علي,msa,NEU,False
« ينزلون » اي اليهود « علا النعمه » انزلها الله علا النبي صلا الله وسلم « » اي نزولها « يرون » يرون « قصه » خبر « ابدي » ابدي « طلبيه » بضم الراء وسكونها وضمها وكسرها وكسرها وفتحها وفتحها وفتحها وضمها وفتحها وفتحها وكسرها وكسرها وفتحها وفتحها وفتحها وفتحها وفتحها وفتحها وفتحها وكسرها وكسرها وفتحها وكسرها وفتحها وفتحها وفتحها وفتحها وفتحها وفتحها وفتحها وفتحها وفتحها وفتحها وفتحها وفتحها وفتحها وفتحها وفتحها وفتحها وفتحها وفتحها وفتحها وفتحها وفتحها وفتحها وفتحها وكسرها وفتحها وفتحها وفتحها وفتحها وفتحها وفتحها وفتحها وفتحها وفتحها وفتحها وفتحها وفتحها وفتحها وفتحها وفتحها وفتحها وفتحها وفتحها وفتحها وفتحها وفتحها وفتحها وفتحها وفتحها وفتحها وفتحها وفتحها وفتحها وفتحها وفتحها وفتحها وفتحها وفتحها وفتحها وفتحها وفتحها وفتحها وفتحها وفتحها وفتحها وفتحها وفتحها وفتحها وفتحها وفتحها وفتحها وفتحها وفتحها وفتحها وفتحها وفتحها وفتحها وفتحها وفتحها وفتحها وفتحها وفتحها وفتحها وفتحها وفتحها وفتحها وفتحها وفتحها وفتحها وفتحها وفتحها وفتحها وفتحها وفتحها وفتحها وفتحها وفتحها وفتحها وفتحها وفتحها وفتحها وفتحها وفتحها وفتحها وفتحها وفتحها وفتحها وفتحها وفتحها وفتحها وفتحها وفتحها وفتحها وفتحها وفتحها وفتحها وفتحها وفتحها وفتحها وفتحها وفتحها وفتحها وفتحها وفتحها وفتحها وفتحها وفتحها وفتحها وفتحها وفتحها وفتحها وفتحها وفتحها وفتحها وفتحها وفتحها وفتحها وفتحها وفتحها وفتحها « « « « « « « علا » اي » اي منسو « يول « يول « يول « يول « يبسطوا » اي » اي » اي » اي « يم « يم « يم « يم « » اي » اي » اي منسوها « يم « منسوها,msa,NEG,True
رءاسه منتخبه تعصم دماء المصريات والمصريين وقبلت حدوث انتهاكات لحقوق الانسان محاسبه,msa,NEG,False
وافق ابن العاهره واللقطاء علا الدفاع المحادثات علا مستوا الخبراء بشان انسحاب المقاتلين والعرب ,msa,NEG,True
المهم بالنسبه ان اقول ان والد الزنا محمد داهلان يقصد ببريء كالدببه !,msa,NEG,True
 بورتمان هانه مليان زياد وماشي بيديك,levant,POS,True
